DATE,BAMLCC8A015PYTRIV
2014-01-27,3068.56
2014-01-28,3074.27
2014-01-29,3092.15
2014-01-30,3086.21
2014-01-31,3090.28
2014-02-03,3122.11
2014-02-04,3101.41
2014-02-05,3079.49
2014-02-06,3075.80
2014-02-07,3083.06
2014-02-10,3087.43
2014-02-11,3083.04
2014-02-12,3071.49
2014-02-13,3091.69
2014-02-14,3091.82
2014-02-17,3093.18
2014-02-18,3105.90
2014-02-19,3097.04
2014-02-20,3089.37
2014-02-21,3102.64
2014-02-24,3099.62
2014-02-25,3122.83
2014-02-26,3134.72
2014-02-27,3151.44
2014-02-28,3156.53
2014-03-03,3170.87
2014-03-04,3140.20
2014-03-05,3137.00
2014-03-06,3119.70
2014-03-07,3104.41
2014-03-10,3101.98
2014-03-11,3109.14
2014-03-12,3122.02
2014-03-13,3145.89
2014-03-14,3145.39
2014-03-17,3129.89
2014-03-18,3132.12
2014-03-19,3117.86
2014-03-20,3123.24
2014-03-21,3146.09
2014-03-24,3163.08
2014-03-25,3162.52
2014-03-26,3176.88
2014-03-27,3194.38
2014-03-28,3181.41
2014-03-31,3177.19
2014-04-01,3164.02
2014-04-02,3149.38
2014-04-03,3161.25
2014-04-04,3181.41
2014-04-07,3195.52
2014-04-08,3202.90
2014-04-09,3194.89
2014-04-10,3221.59
2014-04-11,3230.67
2014-04-14,3229.46
2014-04-15,3239.58
2014-04-16,3242.65
2014-04-17,3219.76
2014-04-21,3217.15
2014-04-22,3227.61
2014-04-23,3243.29
2014-04-24,3246.35
2014-04-25,3256.12
2014-04-28,3248.46
2014-04-29,3237.26
2014-04-30,3251.86
2014-05-01,3276.11
2014-05-02,3294.37
2014-05-05,3278.05
2014-05-06,3291.36
2014-05-07,3283.04
2014-05-08,3280.64
2014-05-09,3264.49
2014-05-12,3253.36
2014-05-13,3271.03
2014-05-14,3305.35
2014-05-15,3319.51
2014-05-16,3314.29
2014-05-19,3302.05
2014-05-20,3304.43
2014-05-21,3285.77
2014-05-22,3280.08
2014-05-23,3293.54
2014-05-26,3294.92
2014-05-27,3308.70
2014-05-28,3344.48
2014-05-29,3338.47
2014-05-30,3333.33
2014-05-31,3333.39
2014-06-02,3306.69
2014-06-03,3281.55
2014-06-04,3277.51
2014-06-05,3283.44
2014-06-06,3286.02
2014-06-09,3283.70
2014-06-10,3278.74
2014-06-11,3277.20
2014-06-12,3301.80
2014-06-13,3300.10
2014-06-16,3307.66
2014-06-17,3286.23
2014-06-18,3298.00
2014-06-19,3285.74
2014-06-20,3291.30
2014-06-23,3296.63
2014-06-24,3316.28
2014-06-25,3326.36
2014-06-26,3341.05
2014-06-27,3332.49
2014-06-30,3342.18
2014-07-01,3317.51
2014-07-02,3288.02
2014-07-03,3282.48
2014-07-04,3282.94
2014-07-07,3302.73
2014-07-08,3328.03
2014-07-09,3335.71
2014-07-10,3331.97
2014-07-11,3340.19
2014-07-14,3330.73
2014-07-15,3331.71
2014-07-16,3339.36
2014-07-17,3362.16
2014-07-18,3359.29
2014-07-21,3371.17
2014-07-22,3376.53
2014-07-23,3374.86
2014-07-24,3358.49
2014-07-25,3382.53
2014-07-28,3375.50
2014-07-29,3391.73
2014-07-30,3354.51
2014-07-31,3349.24
2014-08-01,3347.02
2014-08-04,3347.95
2014-08-05,3352.64
2014-08-06,3350.71
2014-08-07,3367.77
2014-08-08,3368.67
2014-08-11,3367.10
2014-08-12,3352.60
2014-08-13,3364.11
2014-08-14,3386.63
2014-08-15,3413.93
2014-08-18,3387.65
2014-08-19,3378.16
2014-08-20,3379.04
2014-08-21,3393.46
2014-08-22,3410.79
2014-08-25,3421.92
2014-08-26,3418.03
2014-08-27,3438.03
2014-08-28,3456.18
2014-08-29,3451.58
2014-08-31,3452.04
2014-09-01,3452.51
2014-09-02,3413.20
2014-09-03,3420.29
2014-09-04,3398.00
2014-09-05,3381.73
2014-09-08,3387.74
2014-09-09,3381.05
2014-09-10,3360.69
2014-09-11,3366.25
2014-09-12,3322.85
2014-09-15,3326.09
2014-09-16,3319.17
2014-09-17,3314.20
2014-09-18,3317.00
2014-09-19,3343.33
2014-09-22,3348.57
2014-09-23,3362.28
2014-09-24,3346.81
2014-09-25,3370.93
2014-09-26,3365.06
2014-09-29,3373.06
2014-09-30,3358.90
2014-10-01,3398.79
2014-10-02,3381.78
2014-10-03,3396.72
2014-10-06,3403.94
2014-10-07,3435.55
